# Event Log Opened on 2019-03-26T14:26:46.539206
# Event Detection
# bandwidth = 10000000.000000 MHz
# vlen      =    512
#  N      MJD          second  micro.sec    Peak       RMS
0271 58568.602158622001 52026 504940.912   2.316930   0.996808
0272 58568.602158848415 52026 524503.017   2.518459   0.997815
0273 58568.602159078058 52026 544344.239   2.041334   1.004262
0274 58568.602159299378 52026 563466.294   2.120571   0.997564
0275 58568.602159529582 52026 583355.921   2.361078   1.001531
0276 58568.602159823255 52026 608729.200   2.052316   0.997391
0277 58568.602160028786 52026 626487.100   2.169324   1.004707
0278 58568.602160307673 52026 650582.976   2.213559   1.000827
0279 58568.602160526236 52026 669466.775   2.461054   0.998221
0280 58568.602160797651 52026 692917.035   2.024477   1.006427
0281 58568.602161045361 52026 714319.177   2.812571   1.001705
0282 58568.602161289760 52026 735435.287   2.016011   1.003728
0283 58568.602161528266 52026 756042.195   2.647851   1.000091
0284 58568.602161693852 52026 770348.847   2.085675   0.999861
0285 58568.602161919545 52026 789848.716   1.939493   1.001764
0286 58568.602162113079 52026 806569.984   2.021104   0.996198
0287 58568.602162288909 52026 821761.765   1.974024   1.004633
0288 58568.602162521369 52026 841846.271   1.907929   1.003411
0289 58568.602162701733 52026 857429.696   2.706584   0.996403
0290 58568.602162916271 52026 875965.856   2.254250   1.003595
0291 58568.602163191783 52026 899770.042   2.372018   0.999283
0292 58568.602163387208 52026 916654.757   2.278842   1.000864
0293 58568.602163673087 52026 941354.759   1.943025   1.002761
0294 58568.602163875265 52026 958822.855   2.169280   0.997945
0295 58568.602164137570 52026 981486.054   2.103447   0.996726
0296 58568.602164374664 52027   1971.006   1.793924   0.992678
0297 58568.602164569580 52027  18811.717   2.236540   1.001687
0298 58568.602164820484 52027  40489.833   2.039253   1.000751
0299 58568.602165019402 52027  57676.297   1.813532   1.000544
0300 58568.602165280703 52027  80252.743   1.826618   0.997661
0301 58568.602165592361 52027 107180.026   1.980916   0.997989
0302 58568.602165791955 52027 124424.954   2.028547   1.003269
0303 58568.602166039964 52027 145852.870   2.627308   0.998143
0304 58568.602166246317 52027 163681.807   2.006149   0.995937
0305 58568.602166435448 52027 180022.746   1.861798   0.998294
0306 58568.602166715544 52027 204222.977   1.805932   0.999694
0307 58568.602166914563 52027 221418.242   2.168523   1.000386
0308 58568.602167177625 52027 244146.820   1.712256   1.003604
0309 58568.602167413672 52027 264541.248   1.985383   0.999582
0310 58568.602167673613 52027 287000.138   1.817902   0.999580
0311 58568.602167956087 52027 311405.935   2.007998   1.003153
0312 58568.602168178055 52027 330583.939   1.796097   0.998290
0313 58568.602168480531 52027 356717.875   2.607533   1.005198
0314 58568.602168703772 52027 376005.892   2.156298   1.001941
0315 58568.602168959180 52027 398073.138   2.734895   0.995794
0316 58568.602169174337 52027 416662.732   2.081066   0.999792
0317 58568.602169395184 52027 435743.925   1.784025   1.002140
0318 58568.602169691760 52027 461368.032   1.700930   1.003360
0319 58568.602169928345 52027 481808.979   2.092816   1.004489
0320 58568.602170256403 52027 510153.223   1.658075   1.001310
0321 58568.602170482212 52027 529663.150   2.550322   1.000816
0322 58568.602170735969 52027 551587.694   2.088568   1.002599
0323 58568.602170962549 52027 571164.258   1.753424   0.999256
0324 58568.602171214166 52027 592903.981   1.770354   0.997206
0325 58568.602171464307 52027 614516.090   2.042366   1.000076
0326 58568.602171673556 52027 632595.226   1.706149   0.998290
0327 58568.602171988110 52027 659772.709   2.054046   1.000186
0328 58568.602172231236 52027 680778.806   1.605241   1.001632
0329 58568.602172574465 52027 710433.770   1.900249   1.002737
0330 58568.602172835832 52027 733015.874   1.850052   0.997697
0331 58568.602173127474 52027 758213.761   1.686208   1.000549
0332 58568.602173355779 52027 777939.313   1.721037   1.004972
0333 58568.602173657026 52027 803967.008   1.688167   0.998248
0334 58568.602173882500 52027 823448.018   1.925765   1.003715
0335 58568.602174141306 52027 845808.840   1.877602   0.995474
0336 58568.602174374202 52027 865931.066   1.722466   0.998797
0337 58568.602174667605 52027 891281.084   2.224442   1.001100
0338 58568.602174964210 52027 916907.705   1.590103   0.998299
0339 58568.602175210268 52027 938167.145   1.499254   0.998593
0340 58568.602175472035 52027 960783.825   1.713187   0.999412
0341 58568.602175695800 52027 980117.104   1.747840   0.999080
0342 58568.602175984481 52028   5059.133   1.685391   0.996845
0343 58568.602176215012 52028  24977.050   1.670424   0.997879
0344 58568.602176458735 52028  46034.696   1.528701   0.998787
0345 58568.602176693959 52028  66358.087   1.811096   0.996268
0346 58568.602176943736 52028  87938.763   2.055776   1.005202
0347 58568.602177217428 52028 111585.788   2.276877   1.000961
0348 58568.602177463748 52028 132867.860   1.600813   0.993593
0349 58568.602177743531 52028 157041.059   1.584264   1.000513
0350 58568.602177960674 52028 175802.273   1.602124   1.001866
0351 58568.602178223700 52028 198527.708   1.456465   0.999077
0352 58568.602178453344 52028 218368.930   1.487337   1.001214
0353 58568.602178687222 52028 238576.022   1.799504   1.004051
0354 58568.602178927867 52028 259367.752   1.735701   1.002086
0355 58568.602179175083 52028 280727.146   1.760247   0.997111
0356 58568.602179479814 52028 307055.961   1.549698   1.002392
0357 58568.602179713635 52028 327258.024   1.500845   0.999408
0358 58568.602179976508 52028 349970.258   1.452613   1.005517
0359 58568.602180211434 52028 370267.875   2.102888   1.002468
0360 58568.602180430913 52028 389230.883   1.663295   0.999133
0361 58568.602180705471 52028 412952.716   1.452067   1.000345
0362 58568.602180939743 52028 433193.755   1.514146   0.993779
0363 58568.602181214512 52028 456933.820   1.533498   0.999884
0364 58568.602181474344 52028 479383.281   1.475556   1.000037
0365 58568.602181776980 52028 505531.047   2.004113   1.002884
0366 58568.602182024777 52028 526940.732   1.621573   0.997497
0367 58568.602182276773 52028 548713.145   1.483467   1.000259
0368 58568.602182512746 52028 569101.286   1.698408   1.002739
0369 58568.602182781586 52028 592329.007   1.453813   0.999387
